"CID","G","GS","RA","W","SVO","L","BS","SV","SD","MD","HLD","BF","AB","IP","X1B","X2B","X3B","HA","TB","HR","R","ER","IBB","BB","K","SH","SF","WP","DP","HP","IR","IRS","GB","FB","SB","CS","outs","UBB","ERA","WHIP","FIP","K9","BB9","HR9","H9","R9","BAA","OBPA","SLGA","OPSA","pBABIP","WOBAa","Krate","BBrate","HRrate","BIPrate","X1Brate","X2Brate","X3Brate","dRPW","RAA9","WPGAA","fWAA","fWAA.500"
"61865",25,0,25,3,2,0,1,1,9,3,8,85,79,23.3333333333333,10,5,0,15,20,0,2,2,0,6,19,0,0,1,3,0,19,5,29,16,0,2,70,6,0.771428571428571,0.9,2.26642184975518,7.32857142857143,2.31428571428571,0,5.78571428571429,0.771428571428571,0.189873417721519,0.247058823529412,0.253164556962025,0.500223380491437,0.25,0.222561656672773,0.223529411764706,0.0705882352941176,0,0.705882352941177,0.117647058823529,0.0588235294117647,0,28.66,4.00265845265845,0.139660099534489,0.36208173953386,2.1298925854933
"61866",27,0,27,1,5,2,3,2,7,7,4,171,155,39,34,5,0,43,60,4,18,15,0,11,31,1,2,1,2,2,14,3,41,40,1,3,117,11,3.46153846153846,1.38461538461538,3.71330829664163,7.15384615384615,2.53846153846154,0.923076923076923,9.92307692307692,4.15384615384615,0.27741935483871,0.327485380116959,0.387096774193548,0.714582154310507,0.319672131147541,0.308316728561864,0.181286549707602,0.064327485380117,0.0233918128654971,0.719298245614035,0.198830409356725,0.0292397660818713,0,28.3333333333333,0.620240870240869,0.0218908542437954,0.09486036838978,0.277369498215731
"61868",4,0,4,0,0,0,0,0,0,0,0,23,20,5.66666666666667,1,3,0,4,7,0,2,2,0,3,3,0,0,0,1,0,4,2,6,7,0,0,17,3,3.17647058823529,1.23529411764706,3.65297647160392,4.76470588235294,4.76470588235294,0,6.35294117647059,3.17647058823529,0.2,0.304347826086957,0.35,0.654347826086957,0.235294117647059,0.286420156770808,0.130434782608696,0.130434782608696,0,0.739130434782609,0.0434782608695652,0.130434782608696,0,28.25,1.59761643585173,0.0565527941894418,0.0356073148600189,0.774072062174324
"61877",217,79,138,50,23,33,8,13,39,30,12,2716,2499,662.666666666667,410,127,12,627,1012,78,289,279,7,166,458,8,22,11,42,21,76,21,723,701,59,45,1988,159,3.78923541247485,1.18611670020121,3.99127094432259,6.22032193158954,2.25452716297787,1.05935613682093,8.51559356136821,3.92505030181087,0.250900360144058,0.297128129602356,0.404961984793918,0.702090114396274,0.276574307304786,0.297983203768203,0.168630338733432,0.0585419734904271,0.0287187039764359,0.73379970544919,0.150957290132548,0.046759941089838,0.00441826215022091,26.418202764977,0.849036722276158,0.0321383225736211,2.36633278801329,0.435628274671076
"61898",16,22,182,73,0,72,1,0,0,5.5,0,0,0,0,40,40,11,10,5,4,7,5,19,13,19,0,-2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,-0.233463035019455,NA,Inf,-Inf,Inf,NA,Inf,Inf,Inf,NA,-Inf,NA,NA,NA
"61901",280,224,56,68,6,74,3,2,16,9,9,5464,4965,1295,924,235,27,1329,2047,143,635,572,3,380,878,23,47,34,97,47,37,9,1289,1485,102,98,3885,377,3.97528957528958,1.31737451737452,4.07646045979379,6.1019305019305,2.64092664092664,0.993822393822394,9.23629343629344,4.41312741312741,0.267673716012085,0.320827232796486,0.412286002014099,0.733113234810585,0.297168629416186,0.312899371242423,0.160688140556369,0.0689970717423133,0.0261713030746706,0.734992679355783,0.169106881405564,0.04300878477306,0.00494143484626647,24.7633928571429,0.36095961095961,0.0145763390760686,2.09737323372321,0.191926540421231
"61902",35,0,35,0,2,1,0,2,6,2,5,161,148,38.6666666666667,30,5,0,37,48,2,10,10,1,11,37,0,1,0,4,1,22,8,30,42,3,2,116,10,2.32758620689655,1.21551724137931,2.65804746551873,8.61206896551724,2.56034482758621,0.46551724137931,8.61206896551724,2.32758620689655,0.25,0.298136645962733,0.324324324324324,0.622460970287057,0.318181818181818,0.272874420186501,0.229813664596273,0.062111801242236,0.0124223602484472,0.683229813664596,0.186335403726708,0.031055900621118,0,28.5571428571429,2.44650081719047,0.0856703637835583,0.368065266625658,1.14305983424117
"61904",210,1,209,19,31,16,8,23,64,32,24,1081,960,253.666666666667,172,37,4,251,410,38,118,111,7,101,191,4,7,5,18,9,107,32,262,261,11,20,761,94,3.93823915900131,1.36005256241787,4.67678415499265,6.77660972404731,3.58344283837057,1.34822601839685,8.9053876478318,4.18659658344284,0.261458333333333,0.327474560592044,0.427083333333333,0.754557893925378,0.288617886178862,0.322900383120452,0.176688251618871,0.0869565217391304,0.0351526364477336,0.686401480111008,0.159111933395005,0.0342275670675301,0.00370027752081406,28.6095238095238,0.587490440644185,0.0205347857082688,0.57877673792565,0.267704319114547
"61905",21,1,20,0,0,0,0,0,3,2,2,123,116,30,20,8,0,30,44,2,13,11,0,6,20,0,0,0,4,1,13,3,34,29,3,2,90,6,3.3,1.2,3.25689804023137,6,1.8,0.6,9,3.9,0.258620689655172,0.300813008130081,0.379310344827586,0.680123352957668,0.297872340425532,0.29139814279427,0.16260162601626,0.0487804878048781,0.016260162601626,0.764227642276423,0.16260162601626,0.0650406504065041,0,28.3214285714286,0.874087024087023,0.0308630979501093,0.102876993167031,0.418199159215573
"61908",25,11,87,22,1,21,0,0,0,0.4,0,0,0,0,9,9,7,5,4,1,3,2,6,4,4,0,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,-0.701754385964912,NA,Inf,-Inf,Inf,NA,Inf,Inf,Inf,NA,-Inf,NA,NA,NA
