"CID","G","GS","RA","W","SVO","BS","SV","L","SD","MD","HLD","BF","AB","IP","X1B","X2B","X3B","HA","TB","HR","R","ER","IBB","BB","K","SH","SF","WP","HP","DP","IR","IRS","GB","FB","SB","CS","outs","UBB","ERA","WHIP","FIP","K9","BB9","HR9","H9","R9","BAA","OBPA","SLGA","OPSA","pBABIP","WOBAa","Krate","BBrate","HRrate","BIPrate","X1Brate","X2Brate","X3Brate","dRPW","RAA9","WPGAA","fWAA","fWAA.500"
"72278",38,2,36,8,4,2,2,1,11,7,2,285,264,68.3333333333333,46,14,2,68,104,6,37,36,1,14,42,1,3,6,3,3,27,5,75,81,2,1,205,13,4.74146341463415,1.18536585365854,3.81620582000079,5.53170731707317,1.84390243902439,0.790243902439024,8.95609756097561,4.87317073170732,0.257575757575758,0.294736842105263,0.393939393939394,0.688676236044657,0.28310502283105,0.299452799782464,0.147368421052632,0.0456140350877193,0.0210526315789474,0.771929824561403,0.16140350877193,0.0491228070175439,0.00701754385964912,28.0328947368421,-0.386206685608071,-0.0137769106342236,-0.104602469630216,-0.183513104614415
"72283",29,0,29,1,4,3,1,3,5,6,2,169,148,36.3333333333333,30,6,1,43,69,6,28,26,0,20,38,0,0,4,1,2,19,8,29,37,1,0,109,20,6.44036697247706,1.73394495412844,5.03970100908112,9.41284403669725,4.95412844036697,1.48623853211009,10.651376146789,6.93577981651376,0.290540540540541,0.378698224852071,0.466216216216216,0.844914441068287,0.355769230769231,0.369809717711401,0.224852071005917,0.118343195266272,0.0355029585798817,0.615384615384615,0.177514792899408,0.0355029585798817,0.00591715976331361,28.8448275862069,-2.44881577041452,-0.0848961833138326,-0.342729036341028,-1.01399123177819
"72284",45,0,45,1,2,1,1,3,14,8,12,234,217,57,38,6,1,56,97,11,21,20,0,15,43,0,0,1,2,12,18,6,54,62,2,0,171,15,3.15789473684211,1.24561403508772,5.12275267494302,6.78947368421053,2.36842105263158,1.73684210526316,8.84210526315789,3.31578947368421,0.258064516129032,0.311965811965812,0.447004608294931,0.758970420260743,0.276073619631902,0.326942449874781,0.183760683760684,0.0641025641025641,0.047008547008547,0.696581196581197,0.162393162393162,0.0256410256410256,0.00427350427350427,28.45,1.17117457241504,0.0411660658142367,0.260718416823499,0.557090634238246
"72296",138,60,78,26,10,1,8,21,19,10,7,1766,1613,418,255,63,12,404,713,74,206,202,1,109,381,10,11,10,22,23,36,15,338,499,10,2,1254,108,4.34928229665072,1.22488038277512,4.58686750747891,8.20334928229665,2.34688995215311,1.5933014354067,8.69856459330144,4.43540669856459,0.250464972101674,0.30237825594564,0.442033477991321,0.74441173393696,0.28229255774166,0.32027277615314,0.215741789354473,0.0611551528878822,0.0419026047565119,0.668176670441676,0.144394110985277,0.035673839184598,0.00679501698754247,26.5760869565217,0.0515573475346525,0.00193999017308304,0.0901017658165233,0.0255101262221187
"72299",55,1,54,7,7,3,3,5,14,12,2,376,333,86,64,17,1,90,133,8,55,51,0,36,84,0,5,7,2,8,26,8,68,91,0,0,258,36,5.33720930232558,1.46511627906977,3.84490689770924,8.7906976744186,3.76744186046512,0.837209302325581,9.41860465116279,5.75581395348837,0.27027027027027,0.340425531914894,0.399399399399399,0.739824931314293,0.333333333333333,0.326074813353063,0.223404255319149,0.0957446808510638,0.0212765957446809,0.654255319148936,0.170212765957447,0.0452127659574468,0.00265957446808511,28.4045454545455,-1.26884990738913,-0.0446706640463447,-0.426853011998405,-0.567623686168091
"72300",8,1,7,1,0,0,0,0,3,0,0,62,53,14.3333333333333,7,3,0,10,13,0,1,1,1,7,13,0,1,1,1,0,5,2,14,16,1,0,43,6,0.627906976744186,1.11627906976744,2.77513945584878,8.16279069767442,4.3953488372093,0,6.27906976744186,0.627906976744186,0.188679245283019,0.274193548387097,0.245283018867925,0.519476567255021,0.24390243902439,0.246173648170967,0.209677419354839,0.0967741935483871,0,0.661290322580645,0.112903225806452,0.0483870967741935,0,27.40625,3.85905706935506,0.140809379953662,0.224251975481759,1.80848367323999
"72302",103,25,78,17,9,4,4,11,21,14,6,1087,962,255.666666666667,138,41,5,217,367,33,124,116,5,96,232,9,7,5,13,10,43,9,219,297,6,2,767,91,4.08344198174707,1.20469361147327,4.26417859959821,8.16688396349413,3.37940026075619,1.16166883963494,7.63885267275098,4.36505867014342,0.225571725571726,0.295308187672493,0.381496881496881,0.676805069169375,0.261363636363636,0.298897628185154,0.21343146274149,0.0837166513339466,0.0303587856485741,0.655933762649494,0.126954921803128,0.0377184912603496,0.00459981600735971,27.1796116504854,0.12190537595583,0.00448517725431344,0.127412257557719,0.0586072941847833
"72304",629,259,370,84,46,18,23,104,99,70,75,7598,6820,1786.66666666667,1097,306,38,1647,2647,206,873,803,13,593,1823,44,59,55,80,90,186,66,1468,1907,63,21,5360,580,4.04496268656716,1.2464552238806,3.7653685429713,9.1830223880597,2.98712686567164,1.03768656716418,8.2964552238806,4.39757462686567,0.241495601173021,0.303632534877599,0.388123167155425,0.691755702033025,0.297113402061856,0.304139493719152,0.239931560937089,0.0763358778625954,0.0271123979994735,0.644380100026323,0.144380100026323,0.0402737562516452,0.00500131613582522,26.7802066772655,0.0893894192335738,0.0033378913131936,0.662633238471026,0.0436057672065693
"72305",151,27,124,21,18,9,8,16,33,22,16,1333,1198,322,184,49,7,277,451,37,134,129,2,105,306,5,12,14,13,26,68,17,299,322,3,2,966,103,3.6055900621118,1.18012422360248,3.8860740217884,8.5527950310559,2.93478260869565,1.03416149068323,7.74223602484472,3.74534161490683,0.231218697829716,0.294823705926482,0.376460767946578,0.671284473873059,0.27681660899654,0.295024275996328,0.229557389347337,0.0772693173293323,0.0277569392348087,0.654163540885221,0.138034508627157,0.0367591897974494,0.00525131282820705,27.4668874172185,0.741622431192413,0.0270005996648715,0.966021454676512,0.362348632661858
"72309",18,0,18,1,1,1,0,0,4,4,3,86,75,21.3333333333333,6,3,0,12,24,3,12,12,1,10,20,0,0,1,1,2,13,2,23,18,0,0,64,9,5.0625,0.984375,4.5520289907325,8.4375,4.21875,1.265625,5.0625,5.0625,0.16,0.255813953488372,0.32,0.575813953488372,0.173076923076923,0.259801719105977,0.232558139534884,0.104651162790698,0.0348837209302326,0.604651162790698,0.0697674418604651,0.0348837209302326,0,28.7222222222222,-0.575535953900754,-0.0200380022634692,-0.0474974868467418,-0.276148179341522
"72310",240,0,240,24,46,18,28,16,60,51,31,1048,916,237.333333333333,135,38,5,229,430,51,141,133,10,108,283,3,7,9,13,11,101,30,164,242,2,2,712,98,5.0435393258427,1.37780898876404,4.98075090084486,10.7317415730337,4.09550561797753,1.93398876404494,8.68398876404494,5.34691011235955,0.25,0.324427480916031,0.46943231441048,0.793859795326511,0.302207130730051,0.342559525175318,0.270038167938931,0.0935114503816794,0.0486641221374046,0.565839694656489,0.12881679389313,0.0362595419847328,0.00477099236641221,28.9572916666667,-0.859946066260305,-0.0296970475056618,-0.783122141630785,-0.373626975968886
