"CID","G","GS","RA","W","SVO","L","BS","SV","SD","MD","HLD","BF","AB","IP","X1B","X2B","X3B","HA","TB","HR","R","ER","IBB","BB","K","SH","SF","WP","DP","HP","IR","IRS","GB","FB","SB","CS","outs","UBB","ERA","WHIP","FIP","K9","BB9","HR9","H9","R9","BAA","OBPA","SLGA","OPSA","pBABIP","WOBAa","Krate","BBrate","HRrate","BIPrate","X1Brate","X2Brate","X3Brate","dRPW","RAA9","WPGAA","fWAA","fWAA.500"
"61757",162,0,162,14,17,5,10,5,24,36,13,1031,891,222.333333333333,166,48,7,267,467,46,166,158,4,126,175,3,6,7,26,5,106,38,220,231,12,7,667,122,6.39580209895052,1.7496251874063,5.84023219650014,7.08395802098951,5.10044977511244,1.86206896551724,10.808095952024,6.71964017991005,0.2996632996633,0.382153249272551,0.524130190796857,0.906283440069408,0.326923076923077,0.391650783965768,0.169738118331717,0.118331716779825,0.0446168768186227,0.658583899127061,0.161008729388943,0.046556741028128,0.00678952473326867,28.7098765432099,-1.67250499240752,-0.0582553878241278,-1.4391238399516,-0.697926207541999
"61761",297,0,297,17,32,14,12,19,70,52,40,1680,1491,392.333333333333,262,81,6,394,622,45,201,194,11,151,278,6,18,14,31,14,159,55,476,357,19,18,1177,140,4.45029736618522,1.36108751062022,4.22304801034343,6.37723024638913,3.46389124893798,1.03228547153781,9.03823279524214,4.61087510620221,0.264252179745137,0.326190476190476,0.417169684775319,0.743360160965795,0.294266441821248,0.327479055232077,0.16547619047619,0.0833333333333333,0.0267857142857143,0.70952380952381,0.155952380952381,0.0482142857142857,0.00357142857142857,28.5260942760943,0.436260081300314,0.0152933688389971,0.666677597166652,0.198415951537694
"61762",117,0,117,4,19,2,3,16,33,15,15,653,569,158.666666666667,90,22,3,127,191,12,60,55,4,67,117,4,6,4,13,7,68,23,172,155,11,6,476,63,3.11974789915966,1.19747899159664,3.77819283802812,6.63655462184874,3.80042016806723,0.680672268907563,7.20378151260504,3.40336134453782,0.223198594024605,0.301684532924962,0.335676625659051,0.637361158584013,0.257847533632287,0.289828056839474,0.179173047473201,0.0964777947932619,0.0183767228177642,0.689127105666156,0.137825421133231,0.0336906584992343,0.00459418070444104,28.3504273504273,1.64377384296471,0.0579805666647184,1.02217591601503,0.782676811650103
"61763",207,0,207,19,40,13,16,23,59,32,40,1104,978,259,175,44,5,249,378,25,117,113,7,103,167,7,10,13,25,6,90,23,301,266,13,8,777,96,3.92664092664093,1.33204633204633,4.15583308331542,5.8030888030888,3.57915057915058,0.868725868725869,8.65250965250965,4.06563706563707,0.254601226993865,0.317934782608696,0.386503067484663,0.704437850093358,0.281407035175879,0.313913069745806,0.151268115942029,0.0869565217391304,0.0226449275362319,0.727355072463768,0.158514492753623,0.0398550724637681,0.00452898550724638,28.5471014492754,0.981498121865457,0.0343817085461183,0.989429168160516,0.448111036304582
"61769",94,63,31,24,6,27,1,3,6,7,2,1731,1567,403.666666666667,289,87,8,428,663,44,227,216,2,130,282,5,13,10,18,16,19,8,362,501,38,26,1211,128,4.81585466556565,1.37737407101569,4.0497112719913,6.28736581337737,2.89843104872007,0.981007431874484,9.54252683732452,5.06110652353427,0.273133375877473,0.330444829578278,0.423101467772814,0.753546297351093,0.30622009569378,0.330824668360423,0.162911611785095,0.073945696129405,0.025418833044483,0.727325245522819,0.166955517042172,0.0502599653379549,0.00462160600808781,25.3696808510638,-0.0139713360317462,-0.000550709964140534,-0.0247003617249699,-0.00713470875937894
"61777",198,14,184,16,24,19,9,15,45,37,7,1540,1362,348,255,61,6,378,619,56,215,204,9,144,275,7,14,15,18,13,143,51,312,406,21,23,1044,135,5.27586206896552,1.47413793103448,4.75390036241718,7.11206896551724,3.72413793103448,1.44827586206897,9.77586206896552,5.56034482758621,0.277533039647577,0.341558441558442,0.454478707782673,0.796037149341114,0.308133971291866,0.348099164742114,0.178571428571429,0.0876623376623377,0.0363636363636364,0.683116883116883,0.165584415584416,0.0396103896103896,0.0038961038961039,28.1780303030303,-0.513209640083684,-0.0182131126471424,-0.704240355689507,-0.228649466132957
"61795",1144,1,1143,70,124,62,70,52,284,206,226,5647,4815,1292.33333333333,751,224,22,1155,1897,158,629,588,44,749,1229,8,33,50,123,42,706,220,1186,1243,58,65,3877,705,4.09491875161207,1.43925715759608,4.40257483224959,8.55893732267217,5.21614650502966,1.10033531080733,8.04359040495228,4.38044880061904,0.2398753894081,0.336816008500089,0.393977154724818,0.730793163224907,0.288067032649523,0.327986723227265,0.217637683725872,0.124845050469276,0.0279794581193554,0.614308482380025,0.132990968655923,0.0396670798654153,0.00389587391535329,28.7178758741259,0.666686386883487,0.023215031285937,3.33350652946584,0.295157298518314
"61807",128,45,83,16,10,15,0,8,16,10,9,1604,1456,372.666666666667,268,71,6,409,684,64,223,207,1,122,246,5,14,14,28,7,58,16,360,445,24,24,1118,121,4.99910554561717,1.4221824686941,4.96501729947638,5.94096601073345,2.94633273703041,1.54561717352415,9.87745974955277,5.38550983899821,0.280906593406593,0.334788029925187,0.46978021978022,0.804568249705407,0.297413793103448,0.347700188667099,0.153366583541147,0.0754364089775561,0.0399002493765586,0.726309226932668,0.167082294264339,0.0442643391521197,0.00374064837905237,26.939453125,-0.338374651495688,-0.0125605612677295,-0.520100277678576,-0.162126021720254
"61830",223,0,223,16,28,13,12,12,37,39,15,1346,1148,307.666666666667,182,71,5,290,467,32,169,150,9,157,277,5,22,7,22,14,151,55,252,344,20,20,923,148,4.38786565547129,1.42361863488624,4.07319588800217,8.10292524377031,4.59263271939328,0.936078006500542,8.48320693391116,4.94366197183099,0.252613240418118,0.335809806835067,0.406794425087108,0.742604231922175,0.299651567944251,0.32968526230279,0.205794947994056,0.109955423476969,0.0237741456166419,0.643387815750372,0.135215453194651,0.0527488855869242,0.0037147102526003,28.4988789237668,0.103473215671538,0.0036307819668389,0.124118953903419,0.0461065950607053
"61832",93,0,93,5,15,5,5,10,25,13,12,536,480,125.666666666667,85,18,8,124,197,13,61,58,5,45,99,3,4,4,11,4,46,15,135,124,4,3,377,40,4.15384615384615,1.30503978779841,3.80275093712983,7.09018567639257,3.22281167108753,0.931034482758621,8.88063660477454,4.36870026525199,0.258333333333333,0.313432835820896,0.410416666666667,0.723849502487562,0.298387096774194,0.318878042108637,0.184701492537313,0.0746268656716418,0.0242537313432836,0.699626865671642,0.158582089552239,0.0335820895522388,0.0149253731343284,28.4650537634409,0.678434922250534,0.023833958926924,0.332792685757421,0.310440938206549
